name,email,age
Jordan Kennedy,jordankennedy@hotmail.com,25
Patrick Anderson,patrickanderson@hotmail.com,19
Michael Tran,michaeltran@yahoo.com,25
Shannon Collins,shannoncollins@yahoo.com,21
Mr. Jerome Lewis Jr.,mr.jeromelewisjr.@hotmail.com,23
Anthony Williams,anthonywilliams@google.co.uk,27
William Lewis,williamlewis@yahoo.com,29
Brent Alexander,brentalexander@google.co.uk,29
Jennifer Rivera,jenniferrivera@hotmail.com,25
Bradley Grant,bradleygrant@hotmail.com,26
Stephanie Hernandez,stephaniehernandez@hotmail.com,26
Pamela Norton,pamelanorton@yahoo.com,21
George Reed,georgereed@google.co.uk,25
Dawn Smith,dawnsmith@hotmail.com,21
Kelly Fitzpatrick,kellyfitzpatrick@hotmail.com,21
Christopher Gardner,christophergardner@yahoo.com,18
